Date,Baseline 1,Baseline 2,Sport,Drink,Meal 1,Meal 2,Meal 3,Meal 4,Meal 5
12/10/2020,3.75,8,serum,coffee with milk,joplea * 5,bamba small,chocolate,air,air
13/10/2020,5.5,8.5,serum,coffee with milk,ycs,on the fire,air,air,air
14/10/2020,6.75,8,serum,black coffee,shwarma,chocolate large,air,air,air
15/10/2020,6,8,no,pomegranate soda,rice with ktzitzut,haluz * 4,chocolate small,air,air
16/10/2020,6.5,7.5,no,pomegranate soda,fish,chocolate,labane + avocado,air,air
17/10/2020,6.5,7.5,no,pomegranate soda,schips pasta,chocolate small,labane + avocado,air,air
18/10/2020,6.5,7.5,serum,pomegranate soda,pasta with schnitzel,ycs,yoplait,air,air
19/10/2020,6.5,7.5,serum,coffee with milk,fish,ycs,bamba,air,air
20/10/2020,6.5,7.5,serum,coffee with milk,shwarma,ycs,yoplait,air,air
21/10/2020,6.5,7.5,serum,coffee with milk,homus chips,yoplait,pizza * 2,zaatar * 2,air
22/10/2020,6.5,7.5,serum,pomegranate soda,rice and beans,haluz * 6,air,air,air
23/10/2020,5.75,7.5,serum,pomegranate soda,bisley * 6,sima's pizza * 3,air,air,air
24/10/2020,5.25,8,serum,pomegranate soda,fish and vegies,sima's pizza * 1,small cake+ kariot large,bamba,air
25/10/2020,5.5,8,serum / 2,pomegranate soda,m'm shwarma,beer * 3,tapoo,air,air
26/10/2020,5.75,8.5,no,pomegranate soda,shwarma,sima's pizza,beer * 1,air,air
27/10/2020,6.75,8.5,football,coffee with milk,tari bari,dganim small,beer * 4,air,air
28/10/2020,8,8,no,coffee with milk,mataz + tuna sandwich,labane,air,air,air
29/10/2020,7.75,7.5,serum,pomegranate soda,rice and chicken,grapes,cake small,pizza * 2,zaatar * 2
30/10/2020,7,7.5,serum,pomegranate soda,shwarma,cake small,air,air,air
31/10/2020,7,8,serum / 2,pomegranate soda,fish and vegies * 3,cake small,air,air,air
01/11/2020,6.75,8,serum,pomegranate soda,mom's spaghetti with eggs,pizza * 2,popcorn,zaatar * 3,air
02/11/2020,6.25,8,serum,pomegranate soda,rice with beans,cake,bamba + sulties,air,air
02/11/2020,6.25,8,serum,pomegranate soda,rice with beans,cake,bamba + sulties,air,air
03/11/2020,6.75,8,serum + f,pomegranate soda,air,bamba,ycs,air,air
04/11/2020,7.75,7.5,serum,coffee with milk,tuna sandwich * 1,mom's spaghetti,kariot,yoplait,air
05/11/2020,7.25,7,serum / 2,pomegranate soda,susi,air,ycs,air,air
06/11/2020,6.5,7,no,pomegranate soda,kariot small,rice with chicken,bisley,air,air
07/11/2020,6.75,7,no,pomegranate soda,rice and fish,bamba and bisley,zaatar * 4,cake small,air
08/11/2020,7.75,7.5,serum / 2,pomegranate soda,rice and schnitzel,tuna sandwich,bamba,air,air
09/11/2020,7.75,7,serum,coffee with milk,fish,tuna and feta sandwich,air,air,air
10/11/2020,6.75,6,serum,coffee with milk,yoplait,homus chips,tuna sandwich,air,air
11/11/2020,6,6,serum,coffee with milk,greko shwarma,tuna sandwich,air,air,air
12/11/2020,6.5,6.5,serum,pomegranate soda,fish and eggs * 2,greko scurdelia,air,air,air
13/11/2020,7,6,serum,pomegranate soda,haluz * 6,sima's pizza,dganim,air,air
14/11/2020,7.5,5.5,serum,water,rice and schnitzel,cake,labane,air,air
15/11/2020,6.75,5.5,serum / 2,pomegranate soda,rice and schnitzel,haluz * 5,grapes,air,air
16/11/2020,6.5,5.5,no,coffee with milk,tuna sandwich * 2,pear + apple,ycs,air,air
17/11/2020,7,7,no,coffee with milk,mom's spaghetti,ycs,tuna sandwich,air,air
18/11/2020,7.5,7.5,serum,coffee with milk,homus,bisley,air,air,air
19/11/2020,8,8,serum,pomegranate soda,maalub,cake,labane,air,air
20/11/2020,7.75,8,serum,pomegranate soda,maalub + soup,haluz * 5,bisley * 3,popcorn,zaatar * 2
21/11/2020,7,8,serum,pomegranate soda,rice and fish,cake,popcorn + soup,cake small,air
22/11/2020,7,7.5,serum,pomegranate soda,spagethi and ktzitzut,tuna sandwich,bisley * 2,air,air
23/11/2020,6.5,6.5,serum,coffee with milk,fish,kariot small,yoplait * 2,air,air
24/11/2020,6.75,6,serum,coffee with milk,tuna sandwich,shwarma,tuna sandwich,yoplait * 2,kariot small
25/11/2020,7,6.5,serum,coffee with milk,homus,zaatar + soup,air,air,air
26/11/2020,7,7,serum,pomegranate soda,schips pasta,tuna sandwich,popcorn,air,air
27/11/2020,6.5,7.5,serum,pomegranate soda,fish,cake small,sima's pizza * 3,air,air
28/11/2020,6.5,7.5,serum,pomegranate soda,mom's spaghetti+ soup,cake,labane,air,air
29/11/2020,6.75,7.5,no,pomegranate soda,tuna sandwich,apple,tuna sandwich,air,air
30/11/2020,7.25,8,no,coffee with milk,mom's spaghetti,ycs,bamba small * 1,air,air
01/12/2020,6.5,8.5,football,coffee with milk,sushi + mokpatz,tuna sandwich,tapoo * 3,air,air
02/12/2020,6,8.5,no,coffee with milk,shwarma,fritata sandwich,air,air,air
