Date,Baseline 1,Baseline 2,Sport,Drink,Meal 1,Meal 2,Meal 3,Meal 4,Meal 5
01/12/2020,6.5,8.5,football,coffee with milk,sushi + mukpatz,tuna sandwich,tapoo * 3,air,air
02/12/2020,6,8.5,no,coffee with milk,shwarma,fritata sandwich,air,air,air
03/12/2020,6.75,8.5,no,pomegranate soda,mataz + qulaq,fish,labane + avocado,air,air
04/12/2020,7,8.5,no,pomegranate soda,shwarma * 2,haluz * 7,bamba,cake small * 2,air
05/12/2020,7.5,8,no,pomegranate soda,cake small,mom's spaghetti,fried eggs + avocado * 1,air,air
06/12/2020,7.75,7.5,no,pomegranate soda,mom's spaghetti,tuna sandwich,haluz * 5,air,air
07/12/2020,7.5,8,no,coffee with milk,schnitzel in a baguette,ycs,apple,air,air
08/12/2020,7.5,8,football,coffee with milk,tuna sandwich,tari bari,tuna sandwich,bamba,air
09/12/2020,7.5,8,no,coffee with milk,humus,air,air,air,air
10/12/2020,8.25,7.5,no,coffee with milk,schnitzel with mugdara,tuna sandwich,air,air,air
11/12/2020,8.5,8,no,pomegranate soda,beer * 2,bamba * 2,air,air,air
12/12/2020,8.5,8,no,pomegranate soda,fish and chips,fish and chips,cake,air,air
13/12/2020,8.5,8,no,pomegranate soda,rice with ktzitzot,tuna sandwich,yoplait tut * 2,air,air
14/12/2020,8,7,no,coffee with milk,mukpatz,tuna sandwich,yoplait,air,air
15/12/2020,8,6.5,football,coffee with milk,shwarma,tuna sandwich,ycs,air,air
16/12/2020,8,6.5,no,coffee with milk,shwarma,ycs,air,air,air
17/12/2020,7.25,7,no,pomegranate soda,maalub,bamba,air,air,air
18/12/2020,6.25,7,no,pomegranate soda,soup,bamba,cake,zaatar * 2,mataz * 2
19/12/2020,5.5,7,no,pomegranate soda,fish and chips,labane + avocado,bamba * 2,air,air
20/12/2020,5.5,7,no,pomegranate soda,fish with maalub,haluz * 5,apple * 2,air,air
21/12/2020,5.5,7,no,coffee with milk,tari bari,tuna sandwich,yoplait tut * 2,air,air
22/12/2020,6.25,7.5,football,coffee with milk,shwarma,ycs * 2,air,air,air
23/12/2020,6.5,7,no,coffee with milk,humus,tuna sandwich,air,air,air
24/12/2020,6.25,6.5,no,water,tuna sandwich,al haesh,bamba,air,air
25/12/2020,6,6,no,pomegranate soda,sugar medium,sima's pizza,bamba * 2,air,air
26/12/2020,6.5,6.5,no,pomegranate soda,fish and chips,labane + avocado,bisley * 2,air,air
27/12/2020,6.5,7,no,pomegranate soda,pasta with schnitzel,tuna sandwich,apple * 1,air,air
28/12/2020,6.5,6.5,no,coffee with milk,greko,tuna sandwich,apple * 2,air,air
29/12/2020,6.5,6.5,no,coffee with milk,humus chips,yoplait * 2,apple * 1,air,air
30/12/2020,6.5,6.5,no,coffee with milk,shwarma,apple * 2,air,air,air
